repo,area
Anonymizing-Ratemaking-Datasets-using-GANs,Machine learning
CAS-Project-Health-Insurance-Fraud-Detection,Machine learning
FASLR,Reserving
GAM_Examples,Pricing and rating
OSSCIntro,Learning and contributing
PCDM,Data and datasets
SEAT,Simulation and synthetic data
actsim,Simulation and synthetic data
bayesIBNRcyber,Reserving
calendar-heatmap,Organization and site
capital-modeling,Capital modeling
casact.github.io,Organization and site
cascsim,Simulation and synthetic data
casdown,Publishing and authoring
casproject2020_cred,Credibility and experience rating
catastrophe-loss-prediction-with-NLP,Catastrophe modeling
chainladder-python,Reserving
claim_sim,
consumer_vehicle_toolkit,Consumer tools
covid_19_data,Data and datasets
double_lift,Pricing and rating
e-forum,Publishing and authoring
ef-Unifying-Triangle-Methods,
ef-yield-curve-generators,Economic scenarios
git-your-act-uary-together,Organization and site
gk_errata,
hardhat,Credibility and experience rating
imaginator,Simulation and synthetic data
intro_to_text_mining,
linearscore,Machine learning
meta,Organization and site
mg-credibility,Credibility and experience rating
painless_glms,Pricing and rating
pres_higher_learning,Credibility and experience rating
pull_request_tutorial,Learning and contributing
raw_package,Data and datasets
reinspy,Reinsurance
research-papers,Organization and site
reserves_wg_longitudinal_reserving,Reserving
reserving-ensemble,
risky-router,Consumer tools
rp-bnn-claims,Reserving
shiny_big_long,
stan_stans,Learning and contributing
technology_survey,
tryangle,Reserving
